open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1651363200000,376.520,380.200,375.700,378.820,58259.03,1651366799999,22013773.68200,47002,27695.80,10467291.24600,0
1651366800000,378.830,382.970,374.900,382.020,58710.63,1651370399999,22257311.32190,46803,29473.17,11176715.66990,0
1651370400000,382.020,383.360,379.480,379.800,33238.82,1651373999999,12684205.24890,28576,13225.62,5047348.11630,0
1651374000000,379.810,383.120,379.810,382.780,20824.37,1651377599999,7950602.28600,21399,10388.84,3965663.01550,0
1651377600000,382.770,383.010,380.370,382.080,29132.56,1651381199999,11113580.70060,20166,16645.03,6349112.87060,0
1651381200000,382.090,385.500,381.020,382.990,41844.51,1651384799999,16064016.03730,33969,17558.12,6741985.09780,0
1651384800000,382.980,384.610,382.380,382.520,26050.95,1651388399999,9994485.13430,24697,13096.98,5024746.93950,0
1651388400000,382.510,383.640,381.620,382.080,19698.50,1651391999999,7535134.60590,18324,11612.11,4442288.01440,0
1651392000000,382.090,385.160,381.800,384.820,19990.82,1651395599999,7671096.36670,22016,10223.77,3922389.93930,0
1651395600000,384.820,385.440,381.920,383.730,19708.32,1651399199999,7565656.64970,22604,10351.99,3974158.26610,0
1651399200000,383.730,385.500,383.530,384.150,18335.48,1651402799999,7050332.75740,20010,9525.18,3662476.58700,0
1651402800000,384.160,384.870,382.640,383.420,22730.94,1651406399999,8730479.79630,18668,10761.74,4132816.22050,0
1651406400000,383.420,385.400,382.110,384.900,29712.25,1651409999999,11407881.89800,22566,17767.17,6821328.32360,0
1651410000000,384.890,386.060,383.420,383.610,23559.70,1651413599999,9067053.51050,21546,11121.16,4280908.11900,0
1651413600000,383.620,384.720,382.090,383.080,23550.33,1651417199999,9025829.38740,21012,12149.28,4656807.67990,0
1651417200000,383.080,390.000,383.010,389.340,60117.88,1651420799999,23275190.16699,43105,32152.45,12444434.66429,0
1651420800000,389.360,390.750,388.410,388.680,43275.18,1651424399999,16866758.51060,36622,19927.68,7767097.47330,0
1651424400000,388.660,390.000,387.650,388.150,22709.18,1651427999999,8828594.06920,17844,11467.47,4458711.04140,0
1651428000000,388.150,388.240,383.430,383.510,41633.10,1651431599999,16078373.21280,29681,20949.01,8091186.31500,0
1651431600000,383.510,385.640,382.420,384.240,33851.51,1651435199999,12984818.97350,25727,20131.40,7722921.49650,0
1651435200000,384.250,388.490,383.290,388.110,21038.93,1651438799999,8109429.81200,18931,11118.29,4287259.82840,0
1651438800000,388.100,388.900,385.530,387.720,24158.44,1651442399999,9355992.37110,19013,11561.95,4479332.85530,0
1651442400000,387.730,389.910,387.300,388.290,25309.39,1651445999999,9837334.36510,15148,14308.36,5562310.78660,0
1651446000000,388.290,391.280,387.620,389.600,33539.11,1651449599999,13074962.00290,18378,15431.48,6016420.67520,0
1651449600000,389.550,392.350,389.460,390.670,35403.84,1651453199999,13845687.15660,22041,16859.91,6593334.16300,0
1651453200000,390.680,391.500,387.420,387.590,20713.77,1651456799999,8068880.36260,15343,8585.12,3344226.05750,0
1651456800000,387.580,389.450,386.730,389.300,19563.34,1651460399999,7592064.02270,15098,11003.16,4269814.20370,0
1651460400000,389.310,390.680,389.100,389.190,18929.64,1651463999999,7379872.48950,14482,8464.55,3300097.60910,0
1651464000000,389.180,391.620,387.570,390.530,25865.36,1651467599999,10071032.53630,17937,12274.53,4779996.65100,0
1651467600000,390.520,391.450,389.240,391.270,22935.45,1651471199999,8953429.62260,16285,10218.02,3988940.30760,0
1651471200000,391.250,392.330,390.020,390.170,21967.01,1651474799999,8595397.36500,18404,9796.45,3833902.70960,0
1651474800000,390.180,391.500,389.030,389.580,14422.86,1651478399999,5633183.23610,13993,6332.78,2474163.14440,0
1651478400000,389.570,390.760,388.010,388.980,23471.77,1651481999999,9137644.92590,20302,12953.62,5043815.19740,0
1651482000000,388.970,390.210,386.880,387.080,25642.18,1651485599999,9959550.91000,18169,11928.59,4635131.17080,0
1651485600000,387.080,388.330,386.260,386.970,29709.94,1651489199999,11503592.98020,20582,15295.93,5923081.14250,0
1651489200000,386.980,387.060,384.910,385.440,29102.29,1651492799999,11231996.60590,22328,13522.16,5218576.78330,0
1651492800000,385.420,387.970,384.340,384.850,29240.32,1651496399999,11288589.83210,23976,14356.54,5542301.51740,0
1651496400000,384.850,390.500,383.430,389.030,95736.36,1651499999999,37068023.22120,51461,49573.58,19185708.81910,0
1651500000000,389.140,390.900,386.290,388.500,50344.87,1651503599999,19568769.94930,37538,23129.48,8990801.06930,0
1651503600000,388.490,389.810,387.220,387.920,26036.62,1651507199999,10108610.56460,22330,13390.25,5198604.84180,0
1651507200000,387.920,389.440,386.500,386.770,24989.47,1651510799999,9695668.47550,20689,12586.55,4883164.18020,0
1651510800000,386.780,387.200,383.010,384.330,41124.88,1651514399999,15841758.51560,29531,21766.62,8387002.83180,0
1651514400000,384.330,384.830,381.910,384.270,39828.73,1651517999999,15269893.86180,29611,18776.78,7200312.83320,0
1651518000000,384.290,387.760,383.770,387.320,30129.71,1651521599999,11642135.86290,25850,14368.21,5551147.73550,0
1651521600000,387.350,387.500,385.020,385.160,17895.46,1651525199999,6910614.78320,14339,6504.84,2511423.34020,0
1651525200000,385.140,389.650,385.030,388.730,20945.50,1651528799999,8122945.59220,17439,10174.88,3945612.71570,0
1651528800000,388.730,390.570,388.270,388.420,19561.87,1651532399999,7617545.63540,16613,9802.09,3817515.77210,0
1651532400000,388.430,390.610,388.430,389.320,23014.70,1651535999999,8970001.92940,15252,11601.27,4520327.48170,0
1651536000000,389.320,390.260,388.530,389.190,20242.74,1651539599999,7885055.10660,14913,11398.55,4439916.02960,0
1651539600000,389.200,390.830,388.750,390.770,18548.27,1651543199999,7231644.58240,15203,10837.27,4225313.65630,0
1651543200000,390.770,392.170,389.370,389.910,28426.69,1651546799999,11111205.27950,20487,14845.87,5804156.44200,0
1651546800000,389.910,391.620,389.730,391.100,14464.67,1651550399999,5653628.71860,12062,7623.32,2979143.62010,0
1651550400000,391.100,391.550,389.970,390.500,12898.30,1651553999999,5038894.22220,11613,6521.47,2547886.03910,0
1651554000000,390.550,390.690,388.770,390.020,20104.44,1651557599999,7831822.08230,15314,9700.91,3779016.80350,0
1651557600000,390.020,390.150,388.420,388.590,18081.08,1651561199999,7037670.88250,14693,9026.60,3514085.63040,0
1651561200000,388.580,389.710,388.100,389.510,19643.39,1651564799999,7640852.78050,16132,10180.50,3960351.45630,0
1651564800000,389.500,390.180,389.200,389.270,12500.46,1651568399999,4872232.04820,11726,6153.99,2398528.20800,0
1651568400000,389.260,389.540,387.650,387.830,17365.19,1651571999999,6749434.27320,13626,8749.78,3401326.84510,0
1651572000000,387.830,388.380,385.930,386.780,25036.58,1651575599999,9694109.02820,17843,13109.36,5076397.59080,0
1651575600000,386.780,389.120,385.480,388.660,35282.54,1651579199999,13659254.91960,22444,16115.41,6241786.50390,0
1651579200000,388.660,388.710,386.660,386.660,19961.05,1651582799999,7739791.48590,15266,8025.70,3112365.47520,0
1651582800000,386.660,387.520,384.120,385.970,47580.03,1651586399999,18357164.26540,32220,22812.00,8803626.28010,0
1651586400000,385.980,387.200,384.200,385.650,29180.16,1651589999999,11249152.49470,24816,13632.54,5256346.50440,0
1651590000000,385.640,387.470,384.920,386.350,22503.29,1651593599999,8699408.85920,18815,10230.38,3955381.12850,0
1651593600000,386.360,387.040,384.210,384.700,26891.56,1651597199999,10353097.98660,22242,13733.26,5286632.36200,0
1651597200000,384.700,386.500,384.210,384.540,20396.86,1651600799999,7861202.25590,15822,8443.40,3255051.27400,0
1651600800000,384.540,384.540,381.110,382.550,50569.44,1651604399999,19353523.10760,35488,23836.71,9122156.66220,0
1651604400000,382.550,382.660,379.640,381.330,30559.55,1651607999999,11652566.13456,24005,15163.15,5783421.91750,0
1651608000000,381.340,382.500,379.500,382.050,18579.75,1651611599999,7072563.47470,16418,9548.90,3635629.70420,0
1651611600000,382.040,383.730,380.760,382.630,21496.12,1651615199999,8222611.35740,19350,9012.97,3447945.50230,0
1651615200000,382.620,383.920,381.430,382.460,20207.82,1651618799999,7735556.29020,15645,8725.66,3340788.90180,0
1651618800000,382.470,383.520,381.350,383.520,14127.55,1651622399999,5403459.99620,15631,7408.65,2833950.16300,0
1651622400000,383.520,385.080,382.400,384.650,26154.79,1651625999999,10042681.83920,17538,12568.96,4826726.64970,0
1651626000000,384.650,385.860,384.140,384.270,16146.48,1651629599999,6216627.03290,13615,7818.96,3010828.43090,0
1651629600000,384.270,386.110,384.040,384.950,13633.34,1651633199999,5248174.91980,12592,6862.72,2642290.35930,0
1651633200000,384.920,385.880,384.920,385.300,11483.25,1651636799999,4425188.89930,11767,6721.91,2590353.28690,0
1651636800000,385.290,386.470,384.160,384.570,13724.53,1651640399999,5284658.42980,13507,7229.88,2784027.97170,0
1651640400000,384.570,385.350,383.770,385.100,12568.68,1651643999999,4834236.19780,10981,7094.96,2729202.08450,0
1651644000000,385.100,387.790,385.050,387.550,30163.61,1651647599999,11672619.51869,18778,16270.20,6294616.97919,0
1651647600000,387.550,390.320,387.100,389.450,33682.78,1651651199999,13094399.79680,23021,17400.50,6765620.22770,0
1651651200000,389.460,390.500,388.400,390.310,34430.05,1651654799999,13417301.17570,27260,17201.49,6704980.17920,0
1651654800000,390.310,390.970,389.010,389.590,38714.94,1651658399999,15094584.65010,23073,23217.53,9053078.42820,0
1651658400000,389.590,391.490,389.190,390.720,24087.22,1651661999999,9407853.71700,19716,12528.43,4893574.66930,0
1651662000000,390.720,391.710,389.170,390.900,22777.26,1651665599999,8899842.59860,18488,11298.72,4415866.87600,0
1651665600000,390.900,391.940,388.950,389.840,26745.63,1651669199999,10434961.02420,21683,14208.69,5543437.22400,0
