open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1669852800000,300.100,301.530,295.360,296.720,186132.76,1669856399999,55491523.49100,70521,92333.09,27539876.64910,0
1669856400000,296.720,297.450,295.200,296.660,90638.42,1669859999999,26852464.67910,37902,52720.15,15619777.49680,0
1669860000000,296.650,297.750,295.930,297.390,81375.05,1669863599999,24148599.46880,32045,42396.13,12580124.87000,0
1669863600000,297.390,298.170,296.580,297.010,52759.84,1669867199999,15695409.16540,25680,25896.79,7704705.34120,0
1669867200000,297.010,297.710,294.710,295.260,78310.74,1669870799999,23192931.54510,33932,29930.06,8867574.13010,0
1669870800000,295.260,296.260,294.200,295.900,69446.84,1669874399999,20509616.37260,35812,35248.57,10411448.29070,0
1669874400000,295.900,299.800,295.830,298.570,245890.59,1669877999999,73310438.24207,91736,133498.32,39801471.83247,0
1669878000000,298.570,299.100,296.880,297.560,111474.88,1669881599999,33200346.36140,44201,54101.15,16115214.24400,0
1669881600000,297.590,298.380,296.680,297.920,91493.14,1669885199999,27233965.53120,36592,47996.42,14287838.93010,0
1669885200000,297.930,298.000,296.130,297.920,107575.18,1669888799999,31949046.51100,39193,51022.18,15155358.12980,0
1669888800000,297.930,300.230,297.270,298.360,155328.35,1669892399999,46427036.87470,55998,83935.46,25085991.21010,0
1669892400000,298.360,299.680,297.530,298.070,157387.86,1669895999999,46977685.31380,54599,83222.21,24841755.50860,0
1669896000000,298.070,301.000,295.170,297.180,515788.95,1669899599999,153294051.41990,160462,256949.98,76382037.09060,0
1669899600000,297.200,298.280,292.230,294.900,377558.14,1669903199999,111609898.44513,132537,175582.39,51907157.73500,0
1669903200000,294.900,295.190,292.500,294.590,222763.63,1669906799999,65513778.24770,83130,112713.65,33150053.83840,0
1669906800000,294.600,295.480,290.510,292.040,250650.00,1669910399999,73253425.53120,93903,118511.03,34634564.10040,0
1669910400000,292.050,292.370,290.720,291.460,103578.59,1669913999999,30201098.46530,43882,50877.28,14835318.31140,0
1669914000000,291.460,292.210,290.120,292.020,87044.27,1669917599999,25335198.11670,39574,45640.37,13284294.90610,0
1669917600000,292.030,292.940,291.400,291.830,68222.66,1669921199999,19928487.11510,29675,37397.92,10924411.42790,0
1669921200000,291.830,292.610,291.150,291.420,55588.60,1669924799999,16231054.50160,25055,29786.77,8697299.94280,0
1669924800000,291.430,292.660,291.230,292.270,44495.30,1669928399999,12990134.03950,21127,24394.52,7121240.47310,0
1669928400000,292.270,292.500,290.860,292.250,50733.11,1669931999999,14806615.91010,23491,23915.06,6980771.89800,0
1669932000000,292.250,293.580,292.010,292.750,40019.99,1669935599999,11715254.61900,20793,23303.74,6821889.89490,0
1669935600000,292.750,292.990,291.100,292.300,52601.78,1669939199999,15354774.48070,23160,25618.97,7478003.44730,0
1669939200000,292.300,294.000,291.600,293.290,79351.53,1669942799999,23231071.53040,33181,40610.44,11891467.95660,0
1669942800000,293.290,293.550,286.500,289.120,224062.94,1669946399999,64829136.60076,79282,98635.14,28526393.88140,0
1669946400000,289.130,290.690,287.100,288.540,163573.78,1669949999999,47258717.71080,62148,83971.18,24265548.33390,0
1669950000000,288.530,289.620,287.850,288.190,80667.87,1669953599999,23288649.48530,30725,43079.26,12437887.09700,0
1669953600000,288.200,288.400,285.310,287.870,139588.72,1669957199999,40064537.54370,54121,63059.43,18104636.28820,0
1669957200000,287.870,289.000,287.470,288.750,53587.99,1669960799999,15459344.16080,25304,28848.74,8322564.33050,0
1669960800000,288.740,289.700,288.150,288.690,60163.74,1669964399999,17381608.26990,25585,31758.45,9175246.80020,0
1669964400000,288.690,290.620,288.370,289.790,81878.16,1669967999999,23729351.48180,31675,39510.81,11449956.21170,0
1669968000000,289.800,290.190,288.990,289.960,54651.86,1669971599999,15829123.57560,24287,25308.12,7330901.04480,0
