1702512000000,42753.59000000,42825.01000000,42541.08000000,42662.02000000,2035.78398000,1702515599999,86886658.27884180,96799,1005.18936000,42903305.88874450,0
1702515600000,42661.87000000,42768.22000000,42595.87000000,42755.88000000,1168.95567000,1702519199999,49892330.86242480,61346,575.30231000,24555785.29982670,0
1702519200000,42754.79000000,42817.47000000,42614.45000000,42710.13000000,1383.22440000,1702522799999,59087805.88768290,72934,670.39981000,28638831.92129790,0
1702522800000,42712.61000000,42766.54000000,42620.00000000,42662.26000000,1102.09846000,1702526399999,47029619.18515250,54730,561.16484000,23946820.88860620,0
1702526400000,42662.26000000,42756.00000000,42630.00000000,42668.40000000,977.52933000,1702529999999,41733837.81206970,54706,479.83480000,20485830.74801820,0
1702530000000,42668.41000000,42816.25000000,42657.29000000,42812.31000000,1035.23786000,1702533599999,44249219.76532250,55930,521.36561000,22284967.16959100,0
1702533600000,42812.33000000,43077.60000000,42766.03000000,42862.00000000,1886.29100000,1702537199999,80949147.05110950,103094,971.94840000,41710267.03892260,0
1702537200000,42862.00000000,42902.80000000,42707.35000000,42853.66000000,1326.75483000,1702540799999,56776269.60787110,78134,656.46972000,28092638.51276090,0
1702540800000,42853.66000000,42950.50000000,42725.00000000,42728.95000000,1505.17039000,1702544399999,64484151.85860560,89395,731.93590000,31359251.94134350,0
1702544400000,42728.95000000,42883.66000000,42648.14000000,42844.57000000,1502.63977000,1702547999999,64239132.07783400,79694,785.96098000,33602970.61272080,0
1702548000000,42844.61000000,42978.80000000,42737.00000000,42925.88000000,1564.60547000,1702551599999,67041648.18099830,84406,783.44585000,33571789.56024870,0
1702551600000,42925.88000000,43282.44000000,42848.26000000,43238.25000000,2876.86454000,1702555199999,123957420.50518570,173412,1461.10370000,62960903.08659910,0
1702555200000,43238.83000000,43338.00000000,43009.00000000,43050.00000000,2571.92114000,1702558799999,110932436.56413750,115205,1267.68111000,54678867.04206940,0
1702558800000,43048.47000000,43066.53000000,41352.32000000,42532.88000000,5893.83597000,1702562399999,249919662.34943180,286584,2912.16670000,123482164.40973650,0
1702562400000,42533.95000000,42746.79000000,42318.00000000,42620.76000000,3830.71882000,1702565999999,162891141.50422590,191684,1944.01838000,82666527.02320650,0
1702566000000,42622.10000000,42668.52000000,42182.84000000,42427.98000000,3166.88883000,1702569599999,134367479.20228780,154402,1560.22374000,66198408.58368600,0
1702569600000,42427.28000000,42664.00000000,42421.79000000,42572.29000000,2762.42542000,1702573199999,117543522.43492140,138904,1420.85046000,60462064.78848410,0
1702573200000,42572.05000000,43423.07000000,42544.00000000,43191.69000000,5275.23227000,1702576799999,227018062.25447200,240758,2701.11234000,116232958.45167460,0
1702576800000,43191.50000000,43198.11000000,42789.71000000,42810.76000000,3161.56376000,1702580399999,136013978.92628710,115322,1562.13870000,67210199.00923310,0
1702580400000,42810.87000000,43051.50000000,42747.17000000,43024.89000000,1753.30875000,1702583999999,75154117.09465640,75009,907.52567000,38902127.06990930,0
1702584000000,43027.46000000,43044.00000000,42800.00000000,42878.76000000,1729.76600000,1702587599999,74188886.70283350,68554,851.81845000,36534862.77374330,0
1702587600000,42878.75000000,42986.57000000,42841.00000000,42946.00000000,1269.46351000,1702591199999,54499629.62020710,58235,652.08898000,27995002.35076210,0
1702591200000,42943.09000000,43086.25000000,42875.72000000,43044.37000000,1210.65405000,1702594799999,52073031.72129690,59778,602.43575000,25911982.03279680,0
1702594800000,43044.72000000,43157.90000000,42894.79000000,42987.86000000,1466.24012000,1702598399999,63097556.36672370,84320,738.72496000,31792346.76593950,0
1702598400000,42989.19000000,43051.72000000,42832.51000000,42855.23000000,1521.83621000,1702601999999,65368068.71089710,75701,758.76273000,32593070.82516530,0
1702602000000,42859.10000000,43011.31000000,42848.33000000,42944.00000000,1012.73683000,1702605599999,43484692.27763990,49920,514.01939000,22070750.63970870,0
1702605600000,42943.73000000,42981.88000000,42801.48000000,42849.95000000,1250.13096000,1702609199999,53605178.45131550,72240,607.85601000,26065094.32402400,0
1702609200000,42851.05000000,42861.39000000,42466.80000000,42772.63000000,2031.05246000,1702612799999,86795153.97385310,121226,1002.31845000,42834472.75081010,0
1702612800000,42772.63000000,42796.36000000,42681.07000000,42790.00000000,1306.58090000,1702616399999,55846936.93356560,70728,643.93534000,27525021.20543780,0
1702616400000,42787.34000000,42851.91000000,42540.00000000,42572.94000000,1691.66371000,1702619999999,72194677.77206640,102457,821.14204000,35044896.57067930,0
1702620000000,42572.80000000,42618.02000000,42485.75000000,42539.94000000,1237.70420000,1702623599999,52686155.27903130,65726,611.22730000,26018707.03263900,0
1702623600000,42542.07000000,42694.97000000,42522.01000000,42688.83000000,1524.35195000,1702627199999,64979202.94404840,75789,743.71116000,31703146.15080050,0
1702627200000,42689.77000000,42859.86000000,42616.08000000,42850.84000000,1841.19244000,1702630799999,78639720.63654260,103468,939.90621000,40146878.39743470,0
1702630800000,42849.21000000,43021.53000000,42786.91000000,42834.92000000,1879.62120000,1702634399999,80639206.03529940,116723,940.96323000,40371076.85984440,0
1702634400000,42831.64000000,42892.07000000,42735.40000000,42842.87000000,1439.75860000,1702637999999,61681647.12274250,70650,718.72391000,30792445.95350620,0
1702638000000,42841.19000000,42860.00000000,42688.50000000,42769.64000000,1230.61850000,1702641599999,52620396.62036490,57344,615.63932000,26325229.57879450,0
1702641600000,42769.15000000,42780.00000000,42571.73000000,42582.67000000,1434.25838000,1702645199999,61209436.91253920,88749,692.56466000,29558053.87060380,0
1702645200000,42582.00000000,42603.48000000,42171.54000000,42271.31000000,3346.74723000,1702648799999,141890856.17101490,186359,1581.23344000,67042121.70957920,0
1702648800000,42270.91000000,42344.72000000,41986.13000000,42167.06000000,2952.10313000,1702652399999,124452010.25450460,172723,1477.46702000,62286919.34331410,0
1702652400000,42167.34000000,42247.11000000,41637.26000000,41876.39000000,3792.25473000,1702655999999,158946905.88318250,202233,1883.73998000,78959586.20774990,0
1702656000000,41876.48000000,42079.28000000,41685.00000000,41790.29000000,2483.90263000,1702659599999,104029977.95611440,151238,1209.62032000,50663100.98714190,0
1702659600000,41791.98000000,42053.09000000,41755.29000000,41841.54000000,2162.12880000,1702663199999,90619265.78769090,129015,1073.55720000,44995626.01542060,0
1702663200000,41840.39000000,42112.00000000,41812.23000000,42094.12000000,1461.61343000,1702666799999,61331317.57375500,76152,750.06698000,31475001.74102220,0
1702666800000,42095.83000000,42177.08000000,41951.07000000,42083.97000000,1629.53073000,1702670399999,68545150.37759390,83378,788.48526000,33168363.31494480,0
1702670400000,42082.57000000,42250.00000000,42056.00000000,42206.13000000,1485.32297000,1702673999999,62610727.70657210,76726,743.07264000,31322869.87022820,0
1702674000000,42206.09000000,42232.45000000,42095.92000000,42220.00000000,1082.29187000,1702677599999,45644246.66540870,65445,548.49924000,23132329.91496120,0
1702677600000,42222.00000000,42235.00000000,41927.43000000,42043.06000000,1189.13021000,1702681199999,50050839.53570020,78167,602.44970000,25356633.77867770,0
1702681200000,42042.67000000,42146.00000000,41872.97000000,41917.84000000,1442.04994000,1702684799999,60536948.75945780,86461,711.04604000,29850546.42609430,0
1702684800000,41917.58000000,42030.00000000,41590.35000000,41881.76000000,2118.78395000,1702688399999,88648374.57990680,114810,1055.95129000,44183385.36476750,0
1702688400000,41882.69000000,42135.95000000,41863.90000000,42050.79000000,1564.12738000,1702691999999,65760130.88648860,82562,768.04875000,32290637.80152430,0
1702692000000,42051.85000000,42192.24000000,42033.49000000,42129.30000000,1294.69604000,1702695599999,54510336.71208340,68161,650.60028000,27392047.21781550,0
1702695600000,42129.42000000,42386.70000000,42089.01000000,42307.17000000,1773.96663000,1702699199999,74918176.64110800,90668,905.07050000,38223166.49666580,0
1702699200000,42306.95000000,42333.99000000,42224.00000000,42267.84000000,1245.33396000,1702702799999,52654070.18144530,65783,639.15664000,27025242.35428910,0
1702702800000,42266.88000000,42295.60000000,42190.00000000,42255.07000000,927.98247000,1702706399999,39194212.47591270,52894,467.13431000,19730457.66483980,0
1702706400000,42253.13000000,42306.64000000,42127.80000000,42197.85000000,1000.54941000,1702709999999,42226888.17708530,66559,502.17450000,21194097.97105770,0
1702710000000,42197.10000000,42271.95000000,42153.59000000,42220.25000000,859.07415000,1702713599999,36255615.91776910,53122,439.06687000,18530210.93454410,0
1702713600000,42220.25000000,42260.61000000,42084.40000000,42167.62000000,1086.01884000,1702717199999,45811512.01303290,77723,545.00829000,22991030.12556070,0
1702717200000,42168.61000000,42279.99000000,42167.83000000,42202.98000000,1179.43426000,1702720799999,49799667.50426780,78688,591.66947000,24982431.21505100,0
1702720800000,42203.03000000,42272.12000000,42188.63000000,42259.22000000,867.57927000,1702724399999,36633812.23217610,76529,435.43548000,18386882.15862400,0
1702724400000,42258.41000000,42360.01000000,42222.51000000,42350.08000000,1055.56463000,1702727999999,44645906.73214190,82419,517.45889000,21885735.14790980,0
1702728000000,42350.09000000,42514.64000000,42281.01000000,42428.03000000,1805.68396000,1702731599999,76555171.00113400,134038,894.88363000,37940572.91772740,0
1702731600000,42428.05000000,42554.51000000,42247.58000000,42404.51000000,1952.15952000,1702735199999,82770910.03569710,165729,1011.82774000,42900838.67504720,0
1702735200000,42405.32000000,42475.98000000,42315.55000000,42375.67000000,1165.20185000,1702738799999,49376688.30000820,94882,622.27437000,26369788.55330910,0
1702738800000,42376.38000000,42620.00000000,42317.61000000,42610.02000000,1569.26916000,1702742399999,66626461.41748350,152392,848.08859000,36008369.69743470,0
1702742400000,42610.19000000,42730.00000000,42485.57000000,42602.01000000,2262.64459000,1702745999999,96392293.05094300,135989,1153.43199000,49139162.45436990,0
1702746000000,42602.35000000,42616.26000000,42480.02000000,42529.72000000,1368.47597000,1702749599999,58244886.39981730,112935,738.25159000,31422470.48240190,0
1702749600000,42529.72000000,42537.56000000,42406.07000000,42501.80000000,3462.53646000,1702753199999,147079844.31196240,149416,1715.65259000,72878482.26786670,0
1702753200000,42500.59000000,42558.00000000,42388.00000000,42407.63000000,2917.16241000,1702756799999,123898477.91479560,113162,1425.07825000,60528680.01327300,0
1702756800000,42406.81000000,42471.23000000,42315.75000000,42412.26000000,1698.79881000,1702760399999,72059361.14005810,70419,802.03814000,34022305.37371700,0
1702760400000,42412.05000000,42448.03000000,42301.00000000,42363.13000000,1190.01856000,1702763999999,50445234.51319690,58345,581.45551000,24649562.04187240,0
1702764000000,42362.82000000,42397.00000000,42188.54000000,42375.09000000,994.02982000,1702767599999,42073445.74225750,50837,500.01697000,21164436.66641060,0
1702767600000,42375.09000000,42405.70000000,42242.64000000,42348.98000000,1021.74832000,1702771199999,43233203.46418540,56437,497.83564000,21065236.70801010,0
1702771200000,42348.98000000,42384.64000000,42186.80000000,42191.56000000,1254.83410000,1702774799999,53089428.99980950,67562,672.49773000,28453724.00327700,0
1702774800000,42191.56000000,42312.39000000,41925.16000000,42057.36000000,1460.06042000,1702778399999,61527918.55273630,82168,716.67024000,30203293.84625810,0
1702778400000,42058.59000000,42189.67000000,41924.68000000,41937.82000000,1323.25873000,1702781999999,55653848.04318610,66742,635.07033000,26712231.75259350,0
1702782000000,41937.74000000,42079.00000000,41929.49000000,42000.78000000,1152.98190000,1702785599999,48439629.47632040,57699,576.87071000,24235844.60587590,0
1702785600000,42002.00000000,42127.88000000,41984.72000000,42067.26000000,983.04764000,1702789199999,41351226.98318730,44849,498.89589000,20986261.25652900,0
1702789200000,42066.18000000,42114.86000000,41824.00000000,41952.96000000,1451.99482000,1702792799999,60961011.56205630,69315,719.98332000,30228595.82730690,0
1702792800000,41954.83000000,42087.58000000,41851.30000000,42048.00000000,1460.74511000,1702796399999,61290814.36170080,70035,725.44206000,30440226.31554430,0
1702796400000,42047.74000000,42094.00000000,41924.00000000,41946.57000000,1495.75813000,1702799999999,62847961.24526880,73746,733.32267000,30813625.78351740,0
1702800000000,41949.43000000,41972.49000000,41720.43000000,41956.93000000,1697.93055000,1702803599999,71083205.96473970,70342,820.68814000,34359754.62490800,0
1702803600000,41958.92000000,42061.01000000,41885.00000000,42046.59000000,1196.07076000,1702807199999,50204388.98653550,62070,618.28302000,25953108.76504970,0
1702807200000,42047.28000000,42089.54000000,41945.01000000,42015.68000000,1205.93990000,1702810799999,50684972.43970060,70835,587.19198000,24681004.75199840,0
1702810800000,42015.88000000,42103.64000000,41920.79000000,42037.03000000,1065.41584000,1702814399999,44771256.25818050,64116,519.02251000,21811037.44051930,0
1702814400000,42038.71000000,42095.89000000,41948.38000000,42031.88000000,1004.32344000,1702817999999,42193163.63130670,56737,512.71297000,21540313.20491930,0
1702818000000,42031.85000000,42045.73000000,41858.56000000,41941.70000000,1180.36863000,1702821599999,49507608.60533450,69635,575.40217000,24134116.62408770,0
1702821600000,41942.16000000,42036.00000000,41600.00000000,41694.79000000,1957.11001000,1702825199999,81855980.19434110,99868,945.52606000,39549135.38880370,0
1702825200000,41695.14000000,41944.70000000,41636.67000000,41891.15000000,1304.98661000,1702828799999,54527883.12649490,69423,665.90334000,27825498.89339780,0
1702828800000,41891.15000000,42200.00000000,41770.30000000,42184.00000000,1639.35775000,1702832399999,68819281.64836610,99355,862.13981000,36196795.20532050,0
1702832400000,42182.74000000,42505.00000000,42093.78000000,42180.00000000,3288.97188000,1702835999999,139193291.09252740,177122,1619.97756000,68561696.05735420,0
1702836000000,42181.16000000,42318.00000000,41879.98000000,42257.31000000,2609.53075000,1702839599999,109948072.60302840,130030,1308.36093000,55128219.10910520,0
1702839600000,42257.31000000,42305.67000000,42139.64000000,42193.60000000,1141.62873000,1702843199999,48207169.22395090,60430,562.69397000,23761262.99211400,0
1702843200000,42193.81000000,42286.00000000,42182.15000000,42206.29000000,1014.98575000,1702846799999,42865698.96772280,51463,503.90773000,21281953.43079410,0
1702846800000,42207.83000000,42212.00000000,42000.00000000,42028.63000000,1039.18598000,1702850399999,43722466.43748180,48101,509.44692000,21434056.09903820,0
