open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1693526400000,216.580,218.400,216.320,217.660,53535.05,1693529999999,11646821.13550,19188,29071.47,6322236.32090,0
1693530000000,217.650,217.680,216.790,216.960,36626.43,1693533599999,7953718.67660,13362,14696.48,3191143.25750,0
1693533600000,216.960,217.310,216.750,216.790,16390.46,1693537199999,3558474.18830,8982,7810.06,1695692.80950,0
1693537200000,216.790,217.150,216.500,216.810,13958.48,1693540799999,3026217.22340,7361,5205.06,1128478.94670,0
1693540800000,216.810,216.860,215.780,215.970,23849.19,1693544399999,5159735.03030,10400,9302.88,2013281.75990,0
1693544400000,215.970,216.040,214.870,215.020,42705.52,1693547999999,9198819.33310,17015,17556.38,3781576.03230,0
1693548000000,215.030,215.260,213.600,214.050,67082.94,1693551599999,14390826.85110,24212,27228.36,5841704.78850,0
1693551600000,214.060,214.390,213.600,214.280,58687.77,1693555199999,12554440.35220,18181,29247.67,6257275.41780,0
1693555200000,214.270,214.640,213.860,214.630,25032.17,1693558799999,5362778.89600,11125,14011.59,3001867.86410,0
1693558800000,214.620,215.200,214.330,214.490,30841.55,1693562399999,6624293.23420,13004,16734.96,3594916.08290,0
1693562400000,214.480,214.700,214.040,214.130,26360.30,1693565999999,5649076.34900,10483,12441.90,2666173.63940,0
1693566000000,214.120,215.000,214.000,214.860,37548.70,1693569599999,8053932.58270,12911,21041.52,4513268.01380,0
1693569600000,214.870,215.800,214.470,214.870,62552.64,1693573199999,13455863.02800,20551,32941.75,7087011.67550,0
1693573200000,214.870,215.060,213.800,214.750,41369.36,1693576799999,8871066.25110,17263,19980.90,4285480.90210,0
1693576800000,214.750,214.860,211.940,212.650,109963.05,1693580399999,23453348.49510,37141,50617.95,10796089.46600,0
1693580400000,212.630,214.320,211.940,213.410,64730.49,1693583999999,13814405.76030,25245,34372.69,7336392.39230,0
1693584000000,213.410,214.410,212.890,213.590,66222.14,1693587599999,14155664.04780,24609,36383.76,7776712.84280,0
1693587600000,213.590,213.820,211.110,211.930,157901.15,1693591199999,33525279.65100,51093,77469.06,16446888.29700,0
1693591200000,211.930,213.780,211.510,212.780,70948.14,1693594799999,15076220.44210,24384,34819.80,7400018.39620,0
1693594800000,212.770,213.270,212.200,213.150,37478.19,1693598399999,7974980.34220,13951,18505.29,3937450.58280,0
1693598400000,213.150,215.030,212.960,213.470,74577.43,1693601999999,15955774.90430,25797,35074.06,7505672.08110,0
1693602000000,213.460,213.780,213.000,213.530,27049.43,1693605599999,5770960.95500,12700,12320.61,2628720.34290,0
1693605600000,213.540,213.610,213.130,213.270,17362.26,1693609199999,3704091.57070,7480,8463.31,1805608.47240,0
1693609200000,213.280,213.790,213.140,213.650,15248.06,1693612799999,3255226.65670,7486,8038.85,1716134.60730,0
1693612800000,213.660,214.330,213.370,214.040,27343.72,1693616399999,5848836.62530,9422,14598.20,3122969.38190,0
1693616400000,214.030,215.700,213.970,214.920,55868.05,1693619999999,12002112.55470,16703,32479.61,6978341.41310,0
1693620000000,214.910,215.030,214.220,214.260,17984.66,1693623599999,3859040.63600,8009,7170.53,1538616.09990,0
1693623600000,214.270,214.870,214.270,214.740,10960.36,1693627199999,2351533.46220,6058,6184.59,1326768.85240,0
1693627200000,214.750,215.200,214.590,214.960,15655.49,1693630799999,3364553.60850,7512,7992.63,1717914.74960,0
1693630800000,214.950,215.560,214.660,214.930,21046.04,1693634399999,4527507.66760,9784,11616.36,2499390.77270,0
1693634400000,214.930,215.010,214.150,214.150,24033.65,1693637999999,5155156.05450,9148,8431.73,1808776.11420,0
