open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1680307200000,316.730,317.420,316.340,316.450,20576.86,1680310799999,6520242.00360,14472,11492.40,3642059.68840,0
1680310800000,316.450,317.360,316.350,317.180,12847.57,1680314399999,4069880.10190,10970,6493.32,2056764.56660,0
1680314400000,317.170,318.310,316.430,317.070,36826.26,1680317999999,11692269.29180,22381,19563.99,6211841.63260,0
1680318000000,317.060,317.110,315.120,315.160,33737.24,1680321599999,10660816.41790,19982,15778.33,4986814.18700,0
1680321600000,315.160,316.370,314.300,316.050,40119.28,1680325199999,12647168.03470,23235,19014.06,5994673.81720,0
1680325200000,316.060,316.220,315.290,315.800,15496.61,1680328799999,4891950.61420,11512,7224.55,2280558.22440,0
1680328800000,315.810,315.810,313.640,314.750,39122.04,1680332399999,12303508.41640,29774,20747.58,6524772.52410,0
1680332400000,314.740,315.130,313.790,314.160,27436.91,1680335999999,8628018.57850,18808,13507.64,4247612.65690,0
1680336000000,314.150,314.940,314.000,314.360,23514.15,1680339599999,7393906.21150,15267,12292.48,3865049.12750,0
1680339600000,314.360,314.940,314.220,314.760,10689.22,1680343199999,3363870.42410,9870,4898.18,1541400.78410,0
1680343200000,314.760,314.830,314.320,314.660,14004.14,1680346799999,4405448.31150,9734,7077.29,2226299.84650,0
1680346800000,314.670,314.670,314.010,314.180,15370.12,1680350399999,4831655.90680,11648,7689.62,2417248.27280,0
1680350400000,314.170,314.460,313.290,314.330,23760.41,1680353999999,7459534.40120,15325,10209.59,3205397.29740,0
1680354000000,314.330,314.700,314.100,314.480,13036.88,1680357599999,4098914.50860,13303,6982.75,2195413.62790,0
1680357600000,314.480,314.670,313.400,313.530,29056.15,1680361199999,9121442.18330,16829,13234.30,4155054.59810,0
1680361200000,313.530,314.300,313.280,313.550,25279.76,1680364799999,7932138.55920,15403,13328.72,4182577.67790,0
1680364800000,313.560,314.000,312.600,313.270,27278.27,1680368399999,8549426.40990,17863,12691.82,3978098.75170,0
1680368400000,313.270,314.640,313.170,314.440,17979.57,1680371999999,5648375.32460,13706,9088.28,2855086.08170,0
1680372000000,314.430,314.670,314.000,314.640,12533.20,1680375599999,3939134.52130,9565,5293.08,1663681.03400,0
1680375600000,314.630,314.760,313.860,314.270,11808.94,1680379199999,3712269.79950,9124,6152.53,1934116.24050,0
1680379200000,314.260,315.330,313.950,314.080,28929.36,1680382799999,9101870.55700,16595,13799.85,4342213.33580,0
1680382800000,314.080,314.820,314.020,314.660,11034.06,1680386399999,3470022.03350,8406,5057.14,1590314.95310,0
1680386400000,314.650,315.530,314.480,315.140,18531.28,1680389999999,5839026.12750,12898,10246.90,3228783.78380,0
1680390000000,315.130,315.330,314.160,314.720,15025.36,1680393599999,4730954.99550,12519,8181.64,2576540.67020,0
