open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1675209600000,312.150,314.900,311.590,313.440,76949.50,1675213199999,24114805.06270,36614,40791.68,12785133.45890,0
1675213200000,313.470,313.900,311.860,312.910,34593.13,1675216799999,10825418.86010,20818,17245.72,5396897.63240,0
1675216800000,312.910,312.980,311.780,312.690,22527.09,1675220399999,7034485.02740,14170,10164.77,3173830.01750,0
1675220400000,312.690,312.900,311.720,312.500,21381.84,1675223999999,6679066.48120,13859,11188.73,3494889.76230,0
1675224000000,312.500,312.850,310.700,311.210,28435.22,1675227599999,8864123.56930,17148,13920.54,4340106.80150,0
1675227600000,311.200,311.240,310.060,310.100,25579.01,1675231199999,7946932.14190,15117,12656.09,3932499.41690,0
1675231200000,310.100,310.300,307.700,308.110,71553.37,1675234799999,22124001.60830,32634,32306.68,9990805.92460,0
1675234800000,308.100,308.600,306.270,307.830,75835.26,1675238399999,23321414.05524,34384,34174.51,10512161.10120,0
1675238400000,307.820,307.990,306.070,306.960,49631.63,1675241999999,15235745.53330,27474,24769.03,7603913.39300,0
1675242000000,306.960,307.550,305.610,307.360,38977.01,1675245599999,11957275.96220,21114,18414.37,5651092.37820,0
1675245600000,307.380,307.920,306.150,307.100,35103.72,1675249199999,10784898.29080,19022,17931.93,5509397.25060,0
1675249200000,307.100,308.570,307.000,308.170,35143.20,1675252799999,10823160.17410,18597,18615.29,5732918.53390,0
1675252800000,308.170,309.650,307.950,309.600,57748.39,1675256399999,17845738.97510,26493,30298.76,9363615.71560,0
1675256400000,309.610,310.830,308.700,309.420,62926.87,1675259999999,19491041.70270,31690,27841.71,8623807.00020,0
1675260000000,309.420,310.500,308.010,309.350,50903.29,1675263599999,15759958.34680,26918,23603.42,7308512.33070,0
1675263600000,309.420,310.250,306.420,307.070,89057.28,1675267199999,27434657.87431,42009,42201.79,13000369.13240,0
1675267200000,307.060,309.870,306.690,308.260,79904.42,1675270799999,24653110.15560,35263,40354.34,12450050.35990,0
1675270800000,308.250,309.130,306.570,308.040,45014.68,1675274399999,13863384.38590,23524,20288.34,6248163.50230,0
1675274400000,308.040,309.680,307.150,308.530,58188.22,1675277999999,17947680.22060,30924,30720.25,9476813.53270,0
1675278000000,308.590,315.380,306.770,314.510,266670.28,1675281599999,82944842.77716,141937,133742.59,41605590.22426,0
1675281600000,314.520,317.450,313.350,316.910,163964.85,1675285199999,51749103.24180,73443,84594.43,26695415.92440,0
1675285200000,316.910,319.580,316.910,317.530,117577.18,1675288799999,37438911.84270,53961,60833.21,19371333.92960,0
1675288800000,317.520,319.330,315.990,317.420,86690.40,1675292399999,27562566.71970,35469,41022.94,13049448.99500,0
1675292400000,317.430,318.690,317.000,317.200,48719.67,1675295999999,15482385.42690,21579,24294.32,7720401.55850,0
1675296000000,317.210,322.630,316.430,322.540,164468.93,1675299599999,52620371.51889,71718,89887.93,28758659.04839,0
1675299600000,322.540,322.640,320.000,320.230,92233.82,1675303199999,29599149.12700,40980,43229.46,13873750.37880,0
1675303200000,320.230,321.950,319.650,321.540,63828.18,1675306799999,20462175.51780,27674,31486.93,10095352.62990,0
1675306800000,321.560,328.250,321.460,327.980,229829.25,1675310399999,74857795.72542,92525,122509.51,39885493.48152,0
1675310400000,327.990,330.460,326.540,329.850,170178.40,1675313999999,55893501.74520,62072,87428.85,28718264.10340,0
1675314000000,329.850,332.870,329.550,331.270,192954.49,1675317599999,63864706.41400,72186,95994.25,31773191.69090,0
1675317600000,331.280,334.990,329.360,329.780,242482.06,1675321199999,80455228.45695,91412,125502.95,41646689.84795,0
1675321200000,329.790,330.720,327.110,328.870,109038.19,1675324799999,35868096.26830,45177,53439.46,17579065.49920,0
1675324800000,328.880,330.600,328.230,330.330,70236.19,1675328399999,23157831.78230,32550,37460.44,12352939.35100,0
1675328400000,330.320,331.050,329.340,330.600,53110.75,1675331999999,17540636.27820,25398,25114.72,8295684.34680,0
1675332000000,330.600,330.610,328.550,329.550,42918.67,1675335599999,14138281.01900,21355,18043.12,5944230.92110,0
1675335600000,329.550,330.930,329.360,330.140,55395.96,1675339199999,18290422.42930,24363,28184.04,9305184.25220,0
1675339200000,330.150,332.440,329.370,331.820,65926.22,1675342799999,21802179.37800,30572,34939.63,11556803.79990,0
1675342800000,331.810,331.980,327.660,328.070,134482.78,1675346399999,44304054.98300,50033,61658.38,20313810.53650,0
1675346400000,328.070,330.700,325.330,326.180,172896.42,1675349999999,56731629.07952,71937,84178.34,27628152.14740,0
1675350000000,326.180,329.580,325.140,328.480,111336.54,1675353599999,36442936.00180,50507,57855.96,18937003.43470,0
1675353600000,328.480,329.700,327.610,328.660,73028.09,1675357199999,24006165.82820,35670,35621.12,11710785.16540,0
1675357200000,328.670,330.430,328.450,330.020,48936.03,1675360799999,16126594.53880,25668,25474.88,8394827.75750,0
1675360800000,330.020,332.980,329.800,331.430,92832.34,1675364399999,30776094.01590,47810,49554.83,16427823.28500,0
1675364400000,331.430,331.720,327.400,328.410,100238.61,1675367999999,32971372.13900,46710,47525.70,15629948.18760,0
1675368000000,328.450,329.400,327.910,329.390,40847.14,1675371599999,13422207.01560,21002,17889.36,5878386.28030,0
1675371600000,329.400,331.050,322.160,322.700,169448.73,1675375199999,55411134.19760,75941,72743.11,23808135.63940,0
1675375200000,322.690,327.990,321.360,326.920,101788.23,1675378799999,33139211.90500,48005,50368.51,16400671.39850,0
1675378800000,326.920,327.870,322.760,323.720,84943.56,1675382399999,27602192.91280,35218,39320.91,12775943.64080,0
1675382400000,323.710,327.540,323.310,326.380,95622.35,1675385999999,31149579.37320,42347,53273.22,17350745.09710,0
1675386000000,326.390,327.120,323.080,324.060,75004.69,1675389599999,24393172.50710,30060,33712.01,10963951.60980,0
1675389600000,324.050,324.680,319.030,320.260,131578.37,1675393199999,42274036.53379,50468,59821.24,19216046.18010,0
1675393200000,320.260,321.740,318.540,321.450,82026.24,1675396799999,26262133.65710,32746,44163.07,14144591.61950,0
1675396800000,321.450,323.810,320.880,322.780,56292.90,1675400399999,18154457.81050,24212,30461.69,9823198.74410,0
1675400400000,322.770,324.120,322.320,324.050,34594.29,1675403999999,11188280.01210,17813,20049.45,6483928.71000,0
1675404000000,324.050,324.420,323.010,323.460,28798.88,1675407599999,9322475.69050,16493,12821.97,4150983.85760,0
1675407600000,323.480,324.650,322.510,322.910,39685.61,1675411199999,12835557.49580,20372,18310.63,5923213.32940,0
1675411200000,322.910,323.590,321.060,323.420,63029.51,1675414799999,20322437.30950,29069,26218.59,8455566.56860,0
1675414800000,323.410,325.460,323.060,325.060,44480.74,1675418399999,14431056.11310,22967,22320.95,7243014.18450,0
1675418400000,325.070,326.200,323.660,325.790,53361.16,1675421999999,17344190.10870,24015,26353.97,8567460.91650,0
1675422000000,325.790,329.740,325.500,329.450,108099.15,1675425599999,35377331.05322,43371,59005.42,19318275.10782,0
1675425600000,329.450,335.000,329.410,334.550,312902.88,1675429199999,104117987.91675,116085,159339.68,53018333.44415,0
1675429200000,334.550,335.820,328.020,331.810,346245.88,1675432799999,114905504.20110,144350,165488.13,54922838.00400,0
1675432800000,331.810,332.460,328.330,331.140,207945.53,1675436399999,68769240.91720,78640,109234.94,36131397.17100,0
1675436400000,331.140,334.430,328.920,331.580,254850.89,1675439999999,84514153.81310,90710,129899.60,43080178.41110,0
